codigo_aeronave,codigo_ocorrencia,matricula,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_registro,categoria_aviacao,origem_voo,destino_voo,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,dia_extracao,orig_latitude,orig_longitude,dest_latitude,dest_longitude
9725,34776,PTJGH,4860,AVIÃO,CESSNA AIRCRAFT,402B,PISTÃO,2.0,2858.0,8.0,1973.0,BRASIL,TPX,TÁXI AÉREO,SBBG,SBPA,DESCIDA,TÁXI AÉREO,SUBSTANCIAL,,2016-07-30,-31.390997249999998,-54.112838163262815,-29.995268449999998,-51.16639779619565
9727,34838,PTJKU,3992,AVIÃO,BEECH AIRCRAFT,V35B,PISTÃO,1.0,1542.0,6.0,1974.0,BRASIL,TPP,PARTICULAR,SBPR,SBJR,DESCIDA,PRIVADA,DESTRUÍDA,3.0,2016-07-30,-19.90912355,-43.98920499954244,-22.98641695,-43.371449464398225
9756,35056,PRRAT,3992,AVIÃO,CIRRUS DESIGN,SR20,PISTÃO,1.0,1360.0,4.0,2006.0,BRASIL,TPP,PARTICULAR,SBGO,SJSR,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-16.634240650000002,-49.2155620047253,,
9776,52263,PTKQM,3992,AVIÃO,CESSNA AIRCRAFT,210L,PISTÃO,1.0,1724.0,6.0,1975.0,BRASIL,TPP,PARTICULAR,SBSR,SBSR,POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-20.81731545,-49.408467700474546,-20.81731545,-49.408467700474546
9777,35515,PTOFT,3992,AVIÃO,CESSNA AIRCRAFT,172P,PISTÃO,1.0,1088.0,4.0,1982.0,BRASIL,TPP,PARTICULAR,SDKB,SBRP,CRUZEIRO,PRIVADA,LEVE,,2016-07-30,-25.43820325,-49.240644,-21.13330235,-47.77468310119474
9779,42980,PTJAA,3259,AVIÃO,RAYTHEON AIRCRAFT,BAE125-800B,JATO,2.0,12429.0,10.0,1990.0,BRASIL,TPX,TÁXI AÉREO,SBRJ,SBSP,PARTIDA DO MOTOR,TÁXI AÉREO,SUBSTANCIAL,,2016-07-30,-22.91044995,-43.16419567816759,-23.6256872,-46.6612303
9781,36217,PPGHG,218,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770.0,2.0,1992.0,BRASIL,PRI,INSTRUÇÃO,SBLO,SBLO,ARREMETIDA NO AR,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-23.331887549999998,-51.1346212481326,-23.331887549999998,-51.1346212481326
9805,43899,PRTTI,5009,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212,TURBOÉLICE,2.0,22000.0,71.0,1995.0,BRASIL,TPR,REGULAR,SBBE,SBHT,CORRIDA APÓS POUSO,REGULAR,SUBSTANCIAL,,2016-07-30,-1.3798578,-48.47964610194296,36.1069315,1.1095344
9810,49672,PROAK,3867,AVIÃO,FOKKER,F28MK0100,JATO,2.0,44450.0,107.0,1992.0,BRASIL,TPR,REGULAR,SBRJ,SBBR,APROXIMAÇÃO FINAL,REGULAR,NENHUM,,2016-07-30,-22.91044995,-43.16419567816759,-15.87174755,-47.91172169662855
9814,35657,PRTRA,4933,AVIÃO,CESSNA AIRCRAFT,A188B,PISTÃO,1.0,1905.0,1.0,1976.0,BRASIL,SAE-AG,AGRÍCOLA,SSAK,SSAK,OUTRA FASE,AGRÍCOLA,DESTRUÍDA,1.0,2016-07-30,-28.6591865,-53.61100281804245,-28.6591865,-53.61100281804245
9819,52946,PTUTX,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202A,PISTÃO,1.0,1800.0,1.0,2006.0,BRASIL,TPP,PARTICULAR,5JTI,5JTI,NAVEGAÇÃO A BAIXA ALTURA,AGRÍCOLA,SUBSTANCIAL,1.0,2016-07-30,,,,
9821,46179,PPGLS,280,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770.0,3.0,1992.0,BRASIL,PRI,INSTRUÇÃO,SBSR,SILT,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-20.81731545,-49.408467700474546,34.9996976,-117.749507
9858,52471,PTVMQ,49,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PISTÃO,1.0,1633.0,7.0,1991.0,BRASIL,TPX,TÁXI AÉREO,SBSV,SNCL,POUSO,TÁXI AÉREO,LEVE,,2016-07-30,-12.91102045,-38.3349721784498,,
9878,36097,PTNBH,391,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,PISTÃO,1.0,1202.0,4.0,1975.0,BRASIL,TPX,TÁXI AÉREO,SNQG,SIPW,DESCIDA,TÁXI AÉREO,NENHUM,,2016-07-30,,,,
